2017-06-23 02:41:03,063, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:41:05,728, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:41:08,277, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:41:10,803, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:40,927, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:42,613, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:44,174, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:46,530, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:48,634, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:51,210, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:53,837, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:56,040, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:58,313, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:09:59,716, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:01,932, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:04,538, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:07,113, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:09,341, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:12,087, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:14,388, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:17,227, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:19,945, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:22,388, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:23,703, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:24,931, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:27,280, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:29,601, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:32,066, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:33,588, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:35,706, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:38,177, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:40,718, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:43,303, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:45,798, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:46,882, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:49,235, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:51,725, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:54,032, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:56,843, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:10:57,879, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:00,167, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:02,606, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:05,014, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:07,954, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:09,303, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:12,140, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:14,693, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:15,661, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:19,087, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:20,915, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:22,739, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:25,193, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:27,738, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:30,554, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:32,999, [MainProcess], airflow_app, INFO, start the session
2017-06-24 05:11:35,200, [MainProcess], airflow_app, INFO, start the session
